DateID,CTAS Group,ER Visits
498,3 only,702
498,4 and 5,650
499,1 and 2,182
499,3 only,785
499,4 and 5,605
500,1 and 2,162
500,3 only,689
500,4 and 5,571
501,1 and 2,185
501,3 only,662
501,4 and 5,527
502,1 and 2,215
502,3 only,667
502,4 and 5,508
503,1 and 2,199
503,3 only,673
503,4 and 5,573
504,1 and 2,163
504,3 only,694
504,4 and 5,631
505,1 and 2,203
505,3 only,722
505,4 and 5,662
506,1 and 2,244
506,3 only,738
506,4 and 5,653
507,1 and 2,206
507,3 only,664
507,4 and 5,616
508,1 and 2,188
508,3 only,641
508,4 and 5,491
509,1 and 2,223
509,3 only,754
509,4 and 5,586
510,1 and 2,206
510,3 only,750
510,4 and 5,595
511,1 and 2,199
511,3 only,694
511,4 and 5,601
512,1 and 2,212
512,3 only,761
512,4 and 5,716
513,1 and 2,221
513,3 only,723
513,4 and 5,603
514,1 and 2,189
514,3 only,730
514,4 and 5,580
515,1 and 2,192
515,3 only,680
515,4 and 5,613
516,1 and 2,173
516,3 only,661
516,4 and 5,567
517,1 and 2,195
517,3 only,668
517,4 and 5,575
518,1 and 2,183
518,3 only,682
518,4 and 5,662
519,1 and 2,179
519,3 only,669
519,4 and 5,654
520,1 and 2,197
520,3 only,710
520,4 and 5,649
521,1 and 2,229
521,3 only,734
521,4 and 5,557
522,1 and 2,193
522,3 only,649
522,4 and 5,603
523,1 and 2,177
523,3 only,671
523,4 and 5,576
524,1 and 2,194
524,3 only,727
524,4 and 5,539
525,1 and 2,183
525,3 only,711
525,4 and 5,600
526,1 and 2,176
526,3 only,776
526,4 and 5,555
527,1 and 2,205
527,3 only,740
527,4 and 5,593
528,1 and 2,188
528,3 only,698
528,4 and 5,525
529,1 and 2,174
529,3 only,656
529,4 and 5,529
530,1 and 2,175
530,3 only,659
530,4 and 5,546
531,1 and 2,188
531,3 only,683
531,4 and 5,537
532,1 and 2,197
532,3 only,658
532,4 and 5,549
533,1 and 2,201
533,3 only,685
533,4 and 5,599
534,1 and 2,170
534,3 only,728
534,4 and 5,635
535,1 and 2,172
535,3 only,703
535,4 and 5,588
536,1 and 2,189
536,3 only,624
536,4 and 5,592
537,1 and 2,168
537,3 only,665
537,4 and 5,533
538,1 and 2,196
538,3 only,683
538,4 and 5,532
539,1 and 2,186
539,3 only,707
539,4 and 5,604
540,1 and 2,238
540,3 only,692
540,4 and 5,663
541,1 and 2,217
541,3 only,743
541,4 and 5,647
542,1 and 2,211
542,3 only,707
542,4 and 5,608
543,1 and 2,186
543,3 only,745
543,4 and 5,531
544,1 and 2,185
544,3 only,764
544,4 and 5,584
545,1 and 2,196
545,3 only,706
545,4 and 5,538
546,1 and 2,172
546,3 only,736
546,4 and 5,546
547,1 and 2,197
547,3 only,756
547,4 and 5,601
548,1 and 2,203
548,3 only,775
548,4 and 5,593
549,1 and 2,202
549,3 only,730
549,4 and 5,622
550,1 and 2,183
550,3 only,689
550,4 and 5,578
551,1 and 2,191
551,3 only,739
551,4 and 5,578
552,1 and 2,218
552,3 only,737
552,4 and 5,544
553,1 and 2,155
553,3 only,731
553,4 and 5,586
554,1 and 2,154
554,3 only,825
554,4 and 5,674
555,1 and 2,193
555,3 only,787
555,4 and 5,628
556,1 and 2,170
556,3 only,708
556,4 and 5,648
557,1 and 2,210
557,3 only,632
557,4 and 5,549
558,1 and 2,224
558,3 only,756
558,4 and 5,574
559,1 and 2,219
559,3 only,769
559,4 and 5,667
560,1 and 2,220
560,3 only,755
560,4 and 5,687
561,1 and 2,197
561,3 only,842
561,4 and 5,708
562,1 and 2,220
562,3 only,827
562,4 and 5,780
563,1 and 2,203
563,3 only,887
563,4 and 5,661
564,1 and 2,238
564,3 only,874
564,4 and 5,776
565,1 and 2,241
565,3 only,846
565,4 and 5,721
566,1 and 2,239
566,3 only,899
566,4 and 5,706
567,1 and 2,234
567,3 only,849
567,4 and 5,791
568,1 and 2,220
568,3 only,822
568,4 and 5,787
569,1 and 2,184
569,3 only,820
569,4 and 5,770
570,1 and 2,224
570,3 only,939
570,4 and 5,799
571,1 and 2,217
571,3 only,838
571,4 and 5,712
572,1 and 2,206
572,3 only,857
572,4 and 5,631
573,1 and 2,176
573,3 only,817
573,4 and 5,654
574,1 and 2,223
574,3 only,811
574,4 and 5,646
575,1 and 2,214
575,3 only,826
575,4 and 5,653
576,1 and 2,230
576,3 only,794
576,4 and 5,641
577,1 and 2,191
577,3 only,812
577,4 and 5,651
578,1 and 2,170
578,3 only,738
578,4 and 5,606
579,1 and 2,202
579,3 only,791
579,4 and 5,569
580,1 and 2,176
580,3 only,743
580,4 and 5,612
581,1 and 2,183
581,3 only,683
581,4 and 5,616
582,1 and 2,187
582,3 only,692
582,4 and 5,598
583,1 and 2,169
583,3 only,697
583,4 and 5,644
584,1 and 2,196
584,3 only,732
584,4 and 5,581
585,1 and 2,189
585,3 only,640
585,4 and 5,590
586,1 and 2,197
586,3 only,707
586,4 and 5,525
587,1 and 2,191
587,3 only,717
587,4 and 5,558
588,1 and 2,189
588,3 only,722
588,4 and 5,623
589,1 and 2,176
589,3 only,724
589,4 and 5,639
590,1 and 2,209
590,3 only,719
590,4 and 5,624
591,1 and 2,171
591,3 only,791
591,4 and 5,605
592,1 and 2,158
592,3 only,709
592,4 and 5,564
593,1 and 2,207
593,3 only,779
593,4 and 5,543
594,1 and 2,218
594,3 only,824
594,4 and 5,555
595,1 and 2,203
595,3 only,722
595,4 and 5,592
596,1 and 2,214
596,3 only,794
596,4 and 5,662
597,1 and 2,213
597,3 only,821
597,4 and 5,645
598,1 and 2,210
598,3 only,816
598,4 and 5,518
599,1 and 2,199
599,3 only,722
599,4 and 5,590
600,1 and 2,198
600,3 only,778
600,4 and 5,617
601,1 and 2,184
601,3 only,754
601,4 and 5,603
602,1 and 2,208
602,3 only,761
602,4 and 5,675
603,1 and 2,221
603,3 only,832
603,4 and 5,644
604,1 and 2,209
604,3 only,819
604,4 and 5,679
605,1 and 2,189
605,3 only,722
605,4 and 5,635
606,1 and 2,215
606,3 only,769
606,4 and 5,570
607,1 and 2,218
607,3 only,728
607,4 and 5,541
608,1 and 2,194
608,3 only,802
608,4 and 5,619
609,1 and 2,196
609,3 only,729
609,4 and 5,678
610,1 and 2,175
610,3 only,772
610,4 and 5,766
611,1 and 2,237
611,3 only,811
611,4 and 5,671
612,1 and 2,219
612,3 only,769
612,4 and 5,656
613,1 and 2,195
613,3 only,744
613,4 and 5,622
614,1 and 2,230
614,3 only,713
614,4 and 5,555
615,1 and 2,203
615,3 only,733
615,4 and 5,651
616,1 and 2,212
616,3 only,825
616,4 and 5,606
617,1 and 2,216
617,3 only,753
617,4 and 5,666
618,1 and 2,222
618,3 only,875
618,4 and 5,653
619,1 and 2,236
619,3 only,751
619,4 and 5,616
620,1 and 2,224
620,3 only,692
620,4 and 5,595
621,1 and 2,233
621,3 only,815
621,4 and 5,546
622,1 and 2,211
622,3 only,732
622,4 and 5,549
623,1 and 2,221
623,3 only,762
623,4 and 5,609
624,1 and 2,192
624,3 only,750
624,4 and 5,671
625,1 and 2,219
625,3 only,743
625,4 and 5,668
626,1 and 2,224
626,3 only,771
626,4 and 5,618
627,1 and 2,198
627,3 only,786
627,4 and 5,563
628,1 and 2,196
628,3 only,766
628,4 and 5,544
629,1 and 2,202
629,3 only,794
629,4 and 5,578
630,1 and 2,208
630,3 only,735
630,4 and 5,616
631,1 and 2,196
631,3 only,852
631,4 and 5,645
632,1 and 2,226
632,3 only,830
632,4 and 5,706
633,1 and 2,163
633,3 only,794
633,4 and 5,645
634,1 and 2,234
634,3 only,832
634,4 and 5,568
635,1 and 2,251
635,3 only,740
635,4 and 5,597
636,1 and 2,172
636,3 only,761
636,4 and 5,625
637,1 and 2,186
637,3 only,742
637,4 and 5,634
638,1 and 2,204
638,3 only,790
638,4 and 5,568
639,1 and 2,206
639,3 only,823
639,4 and 5,650
640,1 and 2,231
640,3 only,733
640,4 and 5,641
641,1 and 2,187
641,3 only,773
641,4 and 5,587
642,1 and 2,215
642,3 only,741
642,4 and 5,610
643,1 and 2,207
643,3 only,813
643,4 and 5,617
644,1 and 2,212
644,3 only,791
644,4 and 5,581
645,1 and 2,203
645,3 only,749
645,4 and 5,720
646,1 and 2,228
646,3 only,838
646,4 and 5,630
647,1 and 2,206
647,3 only,730
647,4 and 5,549
648,1 and 2,205
648,3 only,742
648,4 and 5,545
649,1 and 2,204
649,3 only,741
649,4 and 5,555
650,1 and 2,203
650,3 only,715
650,4 and 5,599
651,1 and 2,209
651,3 only,694
651,4 and 5,618
652,1 and 2,198
652,3 only,795
652,4 and 5,696
653,1 and 2,228
653,3 only,768
653,4 and 5,673
654,1 and 2,202
654,3 only,726
654,4 and 5,631
655,1 and 2,204
655,3 only,756
655,4 and 5,550
656,1 and 2,215
656,3 only,769
656,4 and 5,617
657,1 and 2,219
657,3 only,733
657,4 and 5,747
658,1 and 2,224
658,3 only,748
658,4 and 5,706
659,1 and 2,225
659,3 only,779
659,4 and 5,744
660,1 and 2,198
660,3 only,811
660,4 and 5,781
661,1 and 2,212
661,3 only,777
661,4 and 5,718
662,1 and 2,217
662,3 only,749
662,4 and 5,633
663,1 and 2,215
663,3 only,729
663,4 and 5,596
664,1 and 2,175
664,3 only,788
664,4 and 5,586
665,1 and 2,182
665,3 only,806
665,4 and 5,590
666,1 and 2,179
666,3 only,718
666,4 and 5,675
667,1 and 2,202
667,3 only,778
667,4 and 5,619
668,1 and 2,207
668,3 only,753
668,4 and 5,598
669,1 and 2,201
669,3 only,726
669,4 and 5,618
670,1 and 2,244
670,3 only,736
670,4 and 5,573
671,1 and 2,208
671,3 only,702
671,4 and 5,629
672,1 and 2,231
672,3 only,687
672,4 and 5,591
673,1 and 2,211
673,3 only,696
673,4 and 5,678
674,1 and 2,217
674,3 only,774
674,4 and 5,651
675,1 and 2,213
675,3 only,722
675,4 and 5,609
676,1 and 2,198
676,3 only,743
676,4 and 5,567
677,1 and 2,186
677,3 only,775
677,4 and 5,548
678,1 and 2,224
678,3 only,725
678,4 and 5,568
679,1 and 2,156
679,3 only,504
679,4 and 5,497
680,1 and 2,201
680,3 only,721
680,4 and 5,657
681,1 and 2,199
681,3 only,779
681,4 and 5,615
682,1 and 2,241
682,3 only,768
682,4 and 5,562
683,1 and 2,239
683,3 only,726
683,4 and 5,556
684,1 and 2,210
684,3 only,716
684,4 and 5,618
685,1 and 2,228
685,3 only,701
685,4 and 5,639
686,1 and 2,186
686,3 only,599
686,4 and 5,585
687,1 and 2,130
687,3 only,484
687,4 and 5,530
688,1 and 2,206
688,3 only,754
688,4 and 5,604
689,1 and 2,208
689,3 only,735
689,4 and 5,614
690,1 and 2,222
690,3 only,699
690,4 and 5,541
691,1 and 2,210
691,3 only,755
691,4 and 5,576
692,1 and 2,218
692,3 only,702
692,4 and 5,624
693,1 and 2,207
693,3 only,761
693,4 and 5,649
694,1 and 2,243
694,3 only,760
694,4 and 5,754
695,1 and 2,242
695,3 only,882
695,4 and 5,692
696,1 and 2,228
696,3 only,816
696,4 and 5,630
697,1 and 2,192
697,3 only,731
697,4 and 5,721
698,1 and 2,232
698,3 only,794
698,4 and 5,589
699,1 and 2,241
699,3 only,810
699,4 and 5,591
700,1 and 2,221
700,3 only,754
700,4 and 5,685
701,1 and 2,215
701,3 only,812
701,4 and 5,626
702,1 and 2,231
702,3 only,848
702,4 and 5,639
703,1 and 2,210
703,3 only,723
703,4 and 5,617
704,1 and 2,172
704,3 only,735
704,4 and 5,608
705,1 and 2,216
705,3 only,754
705,4 and 5,590
706,1 and 2,200
706,3 only,777
706,4 and 5,547
707,1 and 2,177
707,3 only,696
707,4 and 5,623
708,1 and 2,214
708,3 only,779
708,4 and 5,708
709,1 and 2,234
709,3 only,820
709,4 and 5,737
710,1 and 2,239
710,3 only,794
710,4 and 5,665
711,1 and 2,209
711,3 only,745
711,4 and 5,612
712,1 and 2,208
712,3 only,784
712,4 and 5,595
713,1 and 2,211
713,3 only,787
713,4 and 5,596
714,1 and 2,212
714,3 only,741
714,4 and 5,644
715,1 and 2,206
715,3 only,799
715,4 and 5,659
716,1 and 2,248
716,3 only,764
716,4 and 5,657
717,1 and 2,197
717,3 only,821
717,4 and 5,600
718,1 and 2,209
718,3 only,782
718,4 and 5,578
719,1 and 2,205
719,3 only,866
719,4 and 5,561
720,1 and 2,197
720,3 only,799
720,4 and 5,565
721,1 and 2,223
721,3 only,770
721,4 and 5,677
722,1 and 2,244
722,3 only,814
722,4 and 5,681
723,1 and 2,249
723,3 only,882
723,4 and 5,679
724,1 and 2,217
724,3 only,790
724,4 and 5,671
725,1 and 2,250
725,3 only,777
725,4 and 5,672
726,1 and 2,239
726,3 only,809
726,4 and 5,641
727,1 and 2,256
727,3 only,756
727,4 and 5,611
728,1 and 2,225
728,3 only,788
728,4 and 5,691
729,1 and 2,195
729,3 only,807
729,4 and 5,705
730,1 and 2,222
730,3 only,824
730,4 and 5,745
